,Longitude,Latitude
Ae. Albopictus,9.868405965,44.86630247
Ae. Albopictus,9.427672039,45.05806486
Ae. Albopictus,9.991589688,45.08822648
Ae. Albopictus,9.455401383,44.76038474
Ae. Albopictus,9.920652169,45.00028403
Ae. Albopictus,9.568638533,44.70153112
Ae. Albopictus,9.910077455,44.93423817
Ae. Albopictus,9.553731702,44.93925917
Ae. Albopictus,9.624164746,44.98772965
Ae. Albopictus,9.558516726,45.00986647
Ae. Albopictus,9.709444203,44.81635769
Ae. Albopictus,9.778323021,44.81179684
Ae. Albopictus,9.928847585,45.08949731
Ae. Albopictus,9.343657856,44.93177835
Ae. Albopictus,9.71779081,45.04142769
Ae. Albopictus,9.411174518,44.92595056
Ae. Albopictus,9.463792091,44.90785648
Ae. Albopictus,9.702247733,44.97048337
Ae. Albopictus,9.79593515,44.99328116
Ae. Albopictus,9.611824783,44.91644191
Ae. Albopictus,9.565644504,45.06349564
Ae. Albopictus,9.739894506,44.92379233
Ae. Albopictus,9.934006525,45.03014342
Ae. Albopictus,9.498382021,45.06556089
Ae. Albopictus,9.525956313,44.85768698
Ae. Albopictus,9.843041721,44.78782007
Ae. Albopictus,9.639333094,44.88978158
Ae. Albopictus,10.01701769,45.03015496
Ae. Albopictus,9.383538938,44.99070095
Ae. Albopictus,9.578975589,44.52534261
Ae. Albopictus,9.800740243,44.50189784
Ae. Albopictus,10.1306659,44.59023824
Ae. Albopictus,10.20748129,44.75111058
Ae. Albopictus,10.38063595,44.94137196
Ae. Albopictus,10.23874273,44.67951243
Ae. Albopictus,10.05591011,44.86207474
Ae. Albopictus,10.16432723,44.88087997
Ae. Albopictus,10.20317612,44.84871379
Ae. Albopictus,10.11184471,44.66856926
Ae. Albopictus,10.23318063,44.61459828
Ae. Albopictus,10.29871841,44.61790781
Ae. Albopictus,10.08030033,44.73971782
Ae. Albopictus,10.44450989,44.91980661
Ae. Albopictus,10.39275475,44.70431595
Ae. Albopictus,10.31291163,44.54295341
Ae. Albopictus,10.13570465,44.80258084
Ae. Albopictus,10.32759315,44.79363961
Ae. Albopictus,9.909107318,44.74596517
Ae. Albopictus,10.08578964,45.0131785
Ae. Albopictus,10.21142796,44.99794185
Ae. Albopictus,10.198869,44.69646126
Ae. Albopictus,9.981371838,44.80399097
Ae. Albopictus,9.972102206,44.64387472
Ae. Albopictus,10.13855371,44.93769765
Ae. Albopictus,10.43499888,44.86427933
Ae. Albopictus,10.06749239,44.61126043
Ae. Albopictus,10.34285035,44.90161577
Ae. Albopictus,10.37219402,44.63418994
Ae. Albopictus,9.983164517,44.69302345
Ae. Albopictus,9.849351258,44.64289865
Ae. Albopictus,10.15173793,45.01237733
Ae. Albopictus,10.67889549,44.78407911
Ae. Albopictus,10.62174314,44.48131818
Ae. Albopictus,10.6187696,44.79611432
Ae. Albopictus,10.53009305,44.45187088
Ae. Albopictus,10.75262899,44.58895433
Ae. Albopictus,10.48981427,44.52759283
Ae. Albopictus,10.70186775,44.52285401
Ae. Albopictus,10.41693942,44.43867925
Ae. Albopictus,10.52688497,44.70332591
Ae. Albopictus,10.41272555,44.55111524
Ae. Albopictus,10.765574,44.76297848
Ae. Albopictus,10.61676828,44.8816634
Ae. Albopictus,10.68159826,44.90529748
Ae. Albopictus,10.45962653,44.70781852
Ae. Albopictus,10.70856259,44.8452733
Ae. Albopictus,10.52537902,44.8530598
Ae. Albopictus,10.51382141,44.62984394
Ae. Albopictus,10.79839702,44.91446281
Ae. Albopictus,10.63469737,44.69742599
Ae. Albopictus,10.78786051,44.67015492
Ae. Albopictus,10.78398245,44.71516847
Ae. Albopictus,10.44086734,44.62136037
Ae. Albopictus,10.46747102,44.75092904
Ae. Albopictus,10.68990404,44.59879487
Ae. Albopictus,10.54556268,44.38512552
Ae. Albopictus,10.35585011,44.47523395
Ae. Albopictus,10.53007438,44.57932593
Ae. Albopictus,10.99615077,44.71966464
Ae. Albopictus,10.89253866,44.80158918
Ae. Albopictus,11.07281382,44.59817529
Ae. Albopictus,10.9299136,44.56186949
Ae. Albopictus,11.00143585,44.84030293
Ae. Albopictus,11.00175742,44.92478347
Ae. Albopictus,11.26677912,44.8491409
Ae. Albopictus,10.82587439,44.53046294
Ae. Albopictus,10.87008544,44.50813172
Ae. Albopictus,10.9139431,44.43675485
Ae. Albopictus,11.07557625,44.83786665
Ae. Albopictus,11.12450423,44.90739263
Ae. Albopictus,11.05596157,44.68518236
Ae. Albopictus,10.92946149,44.87319352
Ae. Albopictus,11.02375431,44.57360007
Ae. Albopictus,11.15062965,44.84518431
Ae. Albopictus,10.77824443,44.53341285
Ae. Albopictus,10.94170178,44.7477148
Ae. Albopictus,11.00044101,44.53695569
Ae. Albopictus,11.19341884,44.56515585
Ae. Albopictus,11.33244606,44.63128219
Ae. Albopictus,11.57139673,44.66853944
Ae. Albopictus,11.42280951,44.63297692
Ae. Albopictus,11.33342259,44.49798834
Ae. Albopictus,11.54616747,44.56261405
Ae. Albopictus,11.27471129,44.56823971
Ae. Albopictus,11.30890894,44.68591675
Ae. Albopictus,11.06474076,44.4324146
Ae. Albopictus,11.35392792,44.57194621
Ae. Albopictus,11.54813761,44.39619604
Ae. Albopictus,11.46517768,44.51120731
Ae. Albopictus,11.14200924,44.52876872
Ae. Albopictus,11.18573159,44.75242908
Ae. Albopictus,11.42940915,44.74696669
Ae. Albopictus,11.43256347,44.56124985
Ae. Albopictus,11.71590303,44.38773019
Ae. Albopictus,11.50978102,44.68746297
Ae. Albopictus,11.66895527,44.51416786
Ae. Albopictus,11.50264317,44.61653004
Ae. Albopictus,11.09078492,44.47121914
Ae. Albopictus,11.47616981,44.42851021
Ae. Albopictus,10.93192162,44.149536
Ae. Albopictus,11.26780353,44.62644133
Ae. Albopictus,11.37472354,44.65754887
Ae. Albopictus,11.20321654,44.66018644
Ae. Albopictus,11.40493524,44.71050315
Ae. Albopictus,11.12744111,44.66583492
Ae. Albopictus,11.24214966,44.40658375
Ae. Albopictus,11.08585389,44.2913803
Ae. Albopictus,11.21052572,44.49492442
Ae. Albopictus,11.88923534,44.62222224
Ae. Albopictus,11.99665895,44.95990368
Ae. Albopictus,11.37381713,44.90309543
Ae. Albopictus,11.30787983,44.77569867
Ae. Albopictus,12.12843347,44.85817925
Ae. Albopictus,12.16213973,44.68356164
Ae. Albopictus,11.86080376,44.90240856
Ae. Albopictus,11.64925034,44.82283111
Ae. Albopictus,11.86717108,44.84238693
Ae. Albopictus,11.97900633,44.87536704
Ae. Albopictus,12.14314878,44.7705027
Ae. Albopictus,11.79823298,44.78287827
Ae. Albopictus,12.05958442,44.79228685
Ae. Albopictus,12.21921248,44.89979624
Ae. Albopictus,11.95432446,44.78770758
Ae. Albopictus,11.44728585,44.82142423
Ae. Albopictus,11.97794305,44.72371247
Ae. Albopictus,11.49731534,44.77038694
Ae. Albopictus,11.83891045,44.69824428
Ae. Albopictus,11.79137181,44.94458916
Ae. Albopictus,11.38483122,44.80015239
Ae. Albopictus,11.49622985,44.85274441
Ae. Albopictus,11.73775402,44.76201129
Ae. Albopictus,11.90032091,44.80754605
Ae. Albopictus,12.31738948,44.83178724
Ae. Albopictus,11.99138445,44.7815874
Ae. Albopictus,12.00335152,44.54471405
Ae. Albopictus,12.0057076,44.43924992
Ae. Albopictus,11.83478557,44.39259833
Ae. Albopictus,11.74085126,44.19444859
Ae. Albopictus,11.61103484,44.20491747
Ae. Albopictus,11.7870799,44.32075301
Ae. Albopictus,12.31500674,44.25119117
Ae. Albopictus,11.83364638,44.52724968
Ae. Albopictus,11.91173961,44.3800591
Ae. Albopictus,11.90993047,44.29721293
Ae. Albopictus,11.97290737,44.48290622
Ae. Albopictus,11.90658821,44.47730187
Ae. Albopictus,11.8144609,44.4614343
Ae. Albopictus,11.7021433,44.2765996
Ae. Albopictus,12.04769649,44.37268176
Ae. Albopictus,11.86255474,44.44698982
Ae. Albopictus,11.83605,44.35766334
Ae. Albopictus,11.94532555,43.86606166
Ae. Albopictus,12.14577377,44.15711213
Ae. Albopictus,12.35275892,44.01745487
Ae. Albopictus,11.9339092,44.17215425
Ae. Albopictus,12.3800887,44.1758385
Ae. Albopictus,12.01175654,44.01376357
Ae. Albopictus,11.87919633,44.12217456
Ae. Albopictus,12.04980223,44.22742468
Ae. Albopictus,12.12794017,44.18956366
Ae. Albopictus,11.91349469,43.99124912
Ae. Albopictus,12.34781254,44.11820138
Ae. Albopictus,12.39185499,44.13113974
Ae. Albopictus,12.34194327,44.08264873
Ae. Albopictus,12.0643434,44.09722916
Ae. Albopictus,12.16686854,43.98311396
Ae. Albopictus,11.79794759,44.14913077
Ae. Albopictus,12.29848205,44.07321913
Ae. Albopictus,11.72030413,44.00038835
Ae. Albopictus,11.95152118,44.09219471
Ae. Albopictus,11.78160718,43.9667322
Ae. Albopictus,11.8422379,44.06098204
Ae. Albopictus,12.26593325,44.04398974
Ae. Albopictus,12.43237536,44.1149765
Ae. Albopictus,11.85070167,43.91441733
Ae. Albopictus,12.10398667,43.92804712
Ae. Albopictus,12.26511459,43.97292445
Ae. Albopictus,11.7504836,44.06234627
Ae. Albopictus,12.05579354,43.8041211
Ae. Albopictus,12.46364065,44.13171112
Ae. Albopictus,12.56942073,43.96773153
Ae. Albopictus,12.67166822,43.96273827
Ae. Albopictus,12.65193457,43.84451176
Ae. Albopictus,12.58020277,43.92807644
Ae. Albopictus,12.61653835,43.88182372
Ae. Albopictus,12.70833489,43.86670934
Ae. Albopictus,12.53276098,43.92412297
Ae. Albopictus,12.40778155,44.02869941
Ae. Albopictus,12.64582637,43.99680802
Ae. Albopictus,12.53051635,44.0388778
Ae. Albopictus,12.67941661,43.88549133
Ae. Albopictus,12.63206231,43.93129092
Ae. Albopictus,12.7065334,43.93480301
Ae. Albopictus,12.43546264,44.05236424
Ae. Albopictus,12.37618891,43.97881813
Ae. Albopictus,12.42846928,43.98322221
Ae. Albopictus,12.56466668,43.89314123
Ae. Albopictus,14.0317299,42.6520537
Ae. Albopictus,13.1668732,45.764773
Ae. Albopictus,13.02777778,41.27833333
Ae. Albopictus,11.03313224,44.47596039
Ae. Albopictus,10.9908417,44.4943321
Ae. Albopictus,10.94340746,44.49896048
Ae. Albopictus,10.89603322,44.52619661
Ae. Albopictus,10.89466893,44.55599344
Ae. Albopictus,10.85778706,44.57994239
Ae. Albopictus,10.79942944,44.60040876
Ae. Albopictus,10.88631212,44.65667668
Ae. Albopictus,10.93939907,44.66348396
Ae. Albopictus,10.92498463,44.61769824
Ae. Albopictus,10.83587193,44.69242515
Ae. Albopictus,10.90115667,44.71080469
Ae. Albopictus,10.85891217,44.76062624
Ae. Albopictus,11.05019072,44.77412677
Ae. Albopictus,11.01602976,44.78988368
Ae. Albopictus,10.898859,44.89270331
Ae. Albopictus,10.99769009,44.89030212
Ae. Albopictus,11.14652041,44.78870484
Ae. Albopictus,11.10238984,44.72676313
Ae. Albopictus,11.06937258,44.65533852
Ae. Albopictus,7.602694,47.599829
Ae. Albopictus,7.887758,47.981886
Ae. Albopictus,9.5273623,45.6662838
Ae. Albopictus,9.6081567,45.6545741
Ae. Albopictus,9.8785477,45.6405612
Ae. Albopictus,10.0820935,45.8228318
Ae. Albopictus,9.7685402,45.7452587
Ae. Albopictus,9.5848909,45.6947986
Ae. Albopictus,9.74691,45.52078
Ae. Albopictus,9.665453,45.8370441
Ae. Albopictus,9.955692,45.6711404
Ae. Albopictus,9.7258576,45.6878092
Ae. Albopictus,9.60081,45.51924
Ae. Albopictus,9.7017807,45.5947445
Ae. Albopictus,9.6310109,45.7523529
Ae. Albopictus,24.244722,41.074972
Ae. Albopictus,24.16,41.021
Ae. Albopictus,24.187778,41.051931
Ae. Albopictus,24.147222,41.149
Ae. Albopictus,24.121111,41.131628
Ae. Albopictus,24.208611,41.131361
Ae. Albopictus,24.093056,41.117617
Ae. Albopictus,24.043056,41.121628
Ae. Albopictus,24.0475,41.060669
Ae. Albopictus,21.26666,48.65
Ae. Albopictus,-8.093,37.09
Ae. Albopictus,23.31615,40.10754
Ae. Albopictus,23.55348,40.2864
Ae. Albopictus,24.29825,35.31419
Ae. Albopictus,22.91175,40.83841
Ae. Albopictus,22.59603,40.85776
Ae. Albopictus,24.22473,35.31103
Ae. Albopictus,24.2638,35.3605
Ae. Albopictus,24.86446,41.11983
Ae. Albopictus,23.93306,41.19122
Ae. Albopictus,25.40561,41.11827
Ae. Albopictus,24.90353,41.0902
Ae. Albopictus,18.5767,45.5222
Ae. Albopictus,18.6719,45.5278
Ae. Albopictus,18.6425,45.5428
Ae. Albopictus,18.8054,45.2991
Ae. Albopictus,18.703,45.058
Ae. Albopictus,9.944093,49.793261
Ae. Albopictus,8.4148,48.46431
Ae. Albopictus,7.011,51.45
Ae. Albopictus,11.608549,50.891075
Ae. Albopictus,8.68671,49.402586
Ae. Albopictus,-0.16587,38.995031
Ae. Albopictus,-0.256844,39.163167
Ae. Albopictus,-0.317964,39.204922
Ae. Albopictus,2.809012,41.83415
Ae. Albopictus,2.157367,41.644595
Ae. Albopictus,2.524227,41.570945
Ae. Albopictus,2.646258,41.6233
Ae. Albopictus,1.784261,41.799971
Ae. Albopictus,0.651884,40.779585
Ae. Albopictus,1.04236,41.082489
Ae. Albopictus,-0.372809,38.462145
Ae. Albopictus,2.472126,41.725554
Ae. Albopictus,2.832135,41.897941
Ae. Albopictus,2.761947,42.084714
Ae. Albopictus,2.724611,42.056357
Ae. Albopictus,2.574673,41.599352
Ae. Albopictus,-0.216778,39.680727
Ae. Albopictus,2.269965,41.626538
Ae. Albopictus,1.721401,41.283298
Ae. Albopictus,2.355586,41.646028
Ae. Albopictus,1.624851,41.533946
Ae. Albopictus,-0.989974,37.639024
Ae. Albopictus,2.888396,41.879581
Ae. Albopictus,2.074658,41.622567
Ae. Albopictus,1.853585,41.638751
Ae. Albopictus,1.970724,41.276731
Ae. Albopictus,1.677656,41.669716
Ae. Albopictus,1.827426,41.677366
Ae. Albopictus,-0.044826,39.998004
Ae. Albopictus,1.818228,41.832759
Ae. Albopictus,1.704234,41.596281
Ae. Albopictus,2.103266,41.75169
Ae. Albopictus,1.604146,41.334286
Ae. Albopictus,1.917436,41.448046
Ae. Albopictus,1.307192,41.178139
Ae. Albopictus,2.600403,41.971141
Ae. Albopictus,2.87814,42.017931
Ae. Albopictus,2.222201,41.785438
Ae. Albopictus,2.123012,41.480667
Ae. Albopictus,2.337938,41.702663
Ae. Albopictus,1.827808,41.572747
Ae. Albopictus,1.192121,41.161282
Ae. Albopictus,1.930681,41.424415
Ae. Albopictus,2.07671,41.355352
Ae. Albopictus,0.118545,40.323834
Ae. Albopictus,2.982083,41.923693
